priref	name	name_rkd_matching	rkd_reconcile_match_score	rkd_uri	rkd_id_reconciliation	Aantal gelinkte records	digital_reference	gender	birth.date.start	birth.date.end	birth.place	death.date.start	death.date.end	death.place
25202	Grosvenor, R.	Grosvenor, R.				1		man	1937	1937	NEW YORK			
25203	Balrak, R.W.	Balrak, R.W.				23		man						
25204	Weyand, J.G.	Weyand, J.G.				9	https://rkd.nl/explore/artists/83956	man	1886-03-08	1886-03-08	Amsterdam	1960-11-22T23:00:00Z	1960-11-22T23:00:00Z	Bakkum
25207	Izeren, P.E.L.	Izeren, P.	100.0	https://data.rkd.nl/artists/41245	41245	1	https://rkd.nl/explore/artists/41245	man	1886	1886	Den Haag	1943	1943	UTRECHT
25208	Buijs, M.	Buijs, M.				5		man						
25209	Nuding, V.D.R.	Nuding, V.D.R.				4	https://rkd.nl/explore/artists/60080	vrouw	1954-04-17T23:00:00Z	1954-04-17T23:00:00Z	Schwäbisch Gmünd			
25212	Boucher, A.C.	Boucher, A.C.				78	https://rkd.nl/explore/artists/11321	man	1931-08-04T23:00:00Z	1931-08-04T23:00:00Z	Amsterdam	2001-04-05T22:00:00Z	2001-04-05T22:00:00Z	
25213	Keyser, T. de	Keyser, T. de				9	https://rkd.nl/explore/artists/44226	man	1596	1597	Amsterdam	1667	1667	Amsterdam
25216	Berg, A.C. van den	Berg, A.C. van den				1		vrouw	1873-02-18	1873-02-18	Amsterdam	1942-10-05T22:00:00Z	1942-10-05T22:00:00Z	Amsterdam
25221	Vanèn	Vanèn, Frits	61.54	https://data.rkd.nl/artists/79391	79391	166		man	1933-04-06T23:00:00Z	1933-04-06T23:00:00Z	AMERSFOORT			
25222	Neck, J. van	Neck, J. van				1		man	1634	1635	NAARDEN	1714	1714	Amsterdam
25225	Braaksma, S.N.	Braaksma, S.N.				35		vrouw						
25227	Harmsen, A.W.J.	Harmsen, A.W.J.				14	https://rkd.nl/explore/artists/87569	man	1949-04-26T22:00:00Z	1949-04-26T22:00:00Z	WEHL			
25228	Heckel, E.	Heckel, E.				2	https://rkd.nl/explore/artists/36792	man	1883-07-31	1883-07-31	Döbeln	1970-01-26T23:00:00Z	1970-01-26T23:00:00Z	Hemmenhofen
25235	Forberger, A.	Forberger, A.				1		man		1762			1865	
25238	Ronda, F.H.C.	Ronda, F.H.C.				3	https://rkd.nl/explore/artists/67934	man	1899-04-25	1899-04-25	MAASTRICHT	1976-03-15T23:00:00Z	1976-03-15T23:00:00Z	MAASTRICHT
25239	Zembsch, J.	Zembsch, J.				1	https://rkd.nl/explore/artists/86307	man	1953-06-19T23:00:00Z	1953-06-19T23:00:00Z	VLISSINGEN			
25240	Wijngaarden, P. van	Wijngaarden, P. van				1		man						
25242	Rosa di Tivoli	Rosa di Tivoli				1		man	1655	1657	FRANKFURT AM MAIN	1706-01-17	1706-01-17	ROME
25245	Horn, A.	Horn, A.				14	https://rkd.nl/explore/artists/39765	man	1916-01-22T23:00:00Z	1916-01-22T23:00:00Z	NIJMEGEN	1968-07-12T23:00:00Z	1968-07-12T23:00:00Z	Vannes
25250	Elsken, E. van der	Elsken, E. van der				87	https://rkd.nl/explore/artists/26087	man	1925-03-09T23:00:00Z	1925-03-09T23:00:00Z	Amsterdam	1990-12-27T23:00:00Z	1990-12-27T23:00:00Z	EDAM
