Term in CSV,Other Term in CSV,Similarity Score
Orgelmaker,Orgelmakerij,91
Orgelmaker,Orgelmakers,95
textielfabriek,textiefabrieken,90
minderbroederklooster,minderbroederkloosters,98
Toegangspoort,toegangspoorten,86
Architectuurtheorie,Architectuurtheorieën,95
schuurkerk,schuurkerken,91
Renaissance,renaissance,91
Universiteit,universiteiten,85
Universiteit,diversiteit,87
hogeschool,hogescholen,86
levensmiddelenfabriek,levensmiddelenfabrieken,95
Toponymies,Toponymie,95
armenhuis,Warenhuis,89
steenoven,Baksteenoven,86
steenoven,steenoren,89
steenoven,steenovens,95
lantaarnpaal,lantaarnpalen,88
lantaarnpaal,lantarenpaal,92
fontein,fonteinen,88
fontein,fronten,86
houtzaagmolen,houtzaagmolens,96
dok,doek,86
pastorie,pastorieën,89
State,Statie,91
State,States,91
pompstation,pompstations,96
Woonwijk,Woonwijken,89
Tabernakel,tabernakel,90
Loofhut,Loofhout,93
telegraafkantoor,telegraafkantoren,91
Huismerk,Huiswerk,88
Merk,Mer,86
Dominicanen,Dominicanessen,88
dierentuin,dierentuinen,91
Rijstpellerij,rijstpellerijen,86
tabaksschuur,tabaksschuren,88
tegelbakkerij,steenbakkerij,85
tegelbakkerij,Plateelbakkerij,86
tegelbakkerij,tegelbakkerijen,93
Trekschuit,Trekschuiten,91
wagenmakerij,wagenmakerijen,92
kostschool,kostscholen,86
straatverlichting,straatverlichtingen,94
pannenfabriek,dakpannenfabriek,90
pannenfabriek,Linnenfabriek,85
klokkenspel,klokkenstoel,87
Dominicanessen,Dominicanen,88
arbeiderswoning,Veenarbeiderswoning,88
arbeiderswoning,landarbeiderswoning,88
arbeiderswoning,arbeiderswoningen,94
alcoholfabriek,alcoholfabrieken,93
Biografie,Biogeografie,86
viaduct,viaducten,88
Zeepziederij,zeepziederijen,85
kleuterschool,kleuterscholen,89
Wandtapijt,Wandtapijten,91
Beeldhouwkunst,Bouwbeeldhouwkunst,88
Bouwplaats,Bouwplaat,95
Epidemie,Epidemieen,89
parkeergarage,parkeergarages,96
Bejaardenhuis,bejaardentehuis,86
Vakwerk,Lakwerk,86
Vakwerk,Dakwerk,86
Kapconstructies,constructies,89
Kapconstructies,Dakconstructies,87
Kapconstructies,Kapconstructie,97
bankgebouw,bankgebouwen,91
Plafond,Plafonds,93
Industriële vormgeving,industrile vormgeving,93
Luchthaven,luchthavens,86
technische school,technische scholen,91
stal,staal,89
Gemeentebestuur,Gemeentelijk bestuur,86
Landschapstuin,Landschapshuis,86
Beuk,Breuk,89
Geluidswal,Geluidswand,86
Landschapsbehoud,Landschapsbouw,87
grenssteen,grensstenen,95
grenssteen,grenstekens,86
laan,slaan,89
glasblazerij,glasblazerijen,92
Stoomhoutzagerij,Stoomzagerij,86
kuiperij,kuiperijen,89
Waterpomp,Waterpompen,90
gevellantaarn,gevellantaarns,96
Werfkelder,Waterkelder,86
Stollingsgesteente,Stollingsgesteenten,97
Stollingsgesteente,stollingsgesteenten,92
waterschapshuis,waterschapshuizen,88
gemeenlandshuis,gemeenlandshuizen,88
Bedrijfsleven,Bedrijfsleer,88
vergaderzaal,vergaderzalen,88
motel,mortel,91
motel,motels,91
machinefabriek,machinefabrieken,93
flatgebouw,flatgebouwen,91
grafveld,grafvelden,89
visvijver,visvijvers,95
kalkoven,kalkovens,94
kalkoven,klokoven,88
kalkoven,kalven,86
Aardbeving,Aardbevingen,91
sacristie,sacristieen,90
sacristie,sacristiebel,86
tempel,tempels,92
tempel,stempels,86
moskee,moskeeën,86
moskee,moskeeen,86
