Term in CSV|Other Term in CSV|Percentage Match
Schuttersgilde|Schuttersgilden|93.33333333333333
Klokkengieter|Klokkengieters|92.85714285714286
Ikonografie|Iconografie|90.9090909090909
Kruisbeeld|kruisbeeld|90.0
Zinkwit|zinkwit|85.71428571428572
steenbakkerij|steenbakkerijen|86.66666666666667
tramstation|tramstations|91.66666666666666
manege|maneges|85.71428571428572
Restauratie|Restauraties|91.66666666666666
Retabel|Retabels|87.5
Goudleer|goudleer|87.5
bunker|bunkers|85.71428571428572
polder|polders|85.71428571428572
Bedstede|Bedstee|87.5
theater|theaters|87.5
Ruilverkaveling|Ruilverkavelingen|88.23529411764706
fabrieksschoorsteen|fabrieksschoorstenen|95.0
Bouwkeramiek|Bouwceramiek|91.66666666666666
Standbeeld|standbeeld|90.0
verenigingsgebouw|verenigingsgebouwen|89.47368421052632
Reformatie|Deformatie|90.0
kosterswoning|kosterswoningen|86.66666666666667
beltmolen|beltmolens|90.0
binnenhuisarchitectuur|binnenhuisarchitecten|86.36363636363636
vuurtoren|muurtoren|88.88888888888889
vuurtoren|vuurtorens|90.0
kalkbranderij|kalkbranderijen|86.66666666666667
stoommachine|stoommachines|92.3076923076923
Toponymie|Toponymies|90.0
Facade|Facades|85.71428571428572
Meubilair|meubilair|88.88888888888889
politiebureau|politiebureaus|92.85714285714286
Dakpanstempel|Dakpanstempels|92.85714285714286
Pelgrimsteken|Pelgrimstekens|92.85714285714286
Pelgrimsteken|pelgrimsteken|92.3076923076923
Staalindustrie|Metaalindustrie|86.66666666666667
wegwijzer|wegwijzers|90.0
Stadsbrand|Stadsrand|90.0
Bestrijdingsmiddel|Bestrijdingsmiddelen|90.0
theeschenkerij|theeschenkerijen|87.5
tabakswinkel|tabakswinkels|92.3076923076923
Merkteken|Merktekens|90.0
Vicarie|Vicaris|85.71428571428572
distilleerderij|distilleerderijen|88.23529411764706
kasteelpoort|kasteelpoorten|85.71428571428572
Landschapshuis|Landschapstuin|85.71428571428572
Architectuurtekening|Architectuurtekeningen|90.9090909090909
Glasindustrie|Gasindustrie|92.3076923076923
Glasindustrie|Vlasindustrie|92.3076923076923
bakspieker|bakspiekers|90.9090909090909
stadion|stadions|87.5
telefooncentrale|telefooncentrales|94.11764705882352
rijtuigenloods|rijtuigenloodsen|87.5
Houtindustrie|Zoutindustrie|92.3076923076923
Schuifraam|schuifraam|90.0
cementfabriek|cementfabrieken|86.66666666666667
Schelpzandmolen|schelpzandmolens|87.5
Waterbouwkunde|Waterbouwkundige|87.5
veldoven|veldovens|88.88888888888889
bestuursgebouw|bestuursgebouwen|87.5
pelmolen|pelmolens|88.88888888888889
doksaal|oksaal|85.71428571428572
doksaal|dorsaal|85.71428571428572
kamer van koophandel|kamers van koophandel|95.23809523809523
Brandewijnskom|brandewijnkom|85.71428571428572
Geschilderd behangsel|Geschilderd behang|85.71428571428572
Geschilderd behangsel|Beschilderd behangsel|95.23809523809523
Geschilderd behangsel|Beschilderd behangsels|90.9090909090909
Stadsplattegrond|Stadsplattegronden|88.88888888888889
conservenfabriek|conservenfabrieken|88.88888888888889
Galerij|Malerij|85.71428571428572
Stedebouw|Stedenbouw|90.0
refter|refters|85.71428571428572
Schimmel|Schimmels|88.88888888888889
spieker|spiekers|87.5
perronoverkapping|perronoverkappingen|89.47368421052632
Bronsgieter|Bronsgieters|91.66666666666666
lyceum|lyceums|85.71428571428572
modelboerderij|modelboerderijen|87.5
weeghuisje|weeghuisjes|90.9090909090909
dokterswoning|dokterswoningen|86.66666666666667
Pottenbakkersoven|Pottenbakkersovens|94.44444444444444
Ozendrop|Osendrop|87.5
ambassade|ambassades|90.0
Kruiswegstatie|kruiswegstaties|86.66666666666667
Kruiswegstatie|kruiswegstatie|92.85714285714286
kacheltegel|kacheltegels|91.66666666666666
Leidekker|Leidekken|88.88888888888889
standerdmolen|standerdmolens|92.85714285714286
grafteken|graftekens|90.0
dolhuis|tolhuis|85.71428571428572
waterwerken|watermerken|90.9090909090909
