term,use_count,N
Legeronderdelen,158,1
Replica's,25,1
Beroepen,9,1
Verpakkingsmiddelen,11,1
Archeologische depots,8,1
Baggeren,12,1
Kulturen,678,1
Bewerking,38,1
Handenarbeid,2,1
Decoraties,15,1
Kwartsieten,9,1
Beschaving,11,1
Duiken,3,1
munitie,9,1
Bijbelse archeologie,7,1
Sea level,2,1
Anorganisch materiaal,559,1
Steenvruchten,1,1
Dicotyledoneae,6,1
Determinatie,75,1
Anatomie,22,1
fluitschepen,1,1
Vrede van münster,4,1
aardwetenschappen,184,1
Baggerwerken,3,1
Instituten,36,1
roeiriemen,3,1
sculpturen,42,1
Verdronken nederzettingen,39,1
gietvormen,1,1
Siliconenrubber,5,1
Plantenfysiologie,9,1
Bomenteelt,3,1
Data processing,6,1
Mer,3,1
Fossielen,192,1
Botonderzoek,498,1
Vervalsingen,54,1
Inscripties,274,1
Beenbewerking,164,1
Milieueffectrapportages,6,1
Behouden huys,1,1
stempels,12,1
Waterflessen,2,1
Icona aao,2,1
Pkhn aao,1,1
Rgd aao,1,1
Werkgroep ruimtelijke uitwerking noordzeebeleid wrun aao,1,1
Beleidsplannen,29,1
Getijden,7,1
Getij-simulatie,1,1
Etnoarcheologie,92,1
Arar,1,1
Overheidspersoneel,1,1
Meren,21,1
Oppervlaktewater,1,1
Interpretatie,103,1
Wetgeving udc,1,1
Merovingische tijd,355,1
Ecologische archeologie,61,1
Inleidingen,18,1
gewichten,3,1
Privecollecties,20,1
152,3,1
Internationale regelgeving,19,1
Opgravingsbevoegdheid,15,1
universiteiten,4,1
Subsidies,19,1
Gallia,115,1
Galliers,83,1
Perscontacten,8,1
Rampen,18,1
Science fiction,1,1
noodopgravingen,75,1
Homo neanderthalensis,62,1
hunebedden,275,1
Murus gallicus,1,1
Broches,25,1
messen,6,1
Ultraviolet,4,1
hoeden,4,1
Gis,151,1
Amateurverenigingen,119,1
Oude talen,18,1
Plaatselijke politiek,12,1
Logica,3,1
Magdalenien,142,1
Tardenosien,9,1
Klokbeker-cultuur,123,1
Gothen,20,1
grafheuvels,49,1
011,1,1
Boekbanden,5,1
Lokale overheidslichamen,15,1
Verstoringen,175,1
zandgronden,57,1
Abri's,23,1
Depotvondsten,157,1
verenigingen,51,1
Nationale politiek,8,1
Steles,20,1
Skeletresten,333,1
Grafceramiek,117,1
Homo erectus,14,1
Klimaatveranderingen,112,1
Homo sapiens sapiens,11,1
kathedralen,15,1
Kadasters,21,1
Invoerstandaards,28,1
Kalenders,2,1
Lausitz-cultuur,8,1
Gravettien,19,1
terreinen,27,1
Denkspelen,2,1
Terreinverkenning,85,1
Volksverhuizingstijd,5,1
Dierenterminologie,1,1
Przeworsk-kultur,2,1
paalsporen,322,1
Voortplanting,1,1
Ethnoarcheologie,24,1
Paleontologie,199,1
Hamburg-cultuur,26,1
Bandkeramiek,178,1
Vuursteenwinning,76,1
Oudheidkamers,38,1
Huisvlijt,2,1
Nederlands openluchtmuseum (pica),2,1
Volkenkunde,9,1
Frankische tijd,70,1
Sarcofagen,9,1
Ceramiektypen,71,1
Dagelijks leven,39,1
Themaparken,3,1
Fluormethode,3,1
rijengrafvelden,25,1
Archivalia,59,1
Taphonomie,42,1
celtic fields,55,1
Paardenbitten,3,1
Spanjaarden,1,1
Spaanse tijd,4,1
Heemkunde,1,1
Jagers-verzamelaars,94,1
grafkelders,11,1
kringgreppels,77,1
Zonverering,2,1
Indianen,26,1
Indians of north america,12,1
Inundaties,3,1
Mens,163,1
Paleoantropologie,12,1
Vlaardingen-cultuur,48,1
Terrestrische ecologie,3,1
Gender archaeology,12,1
Skythen,12,1
Historiografie,33,1
Begripsbepaling,8,1
Druiden,11,1
Maglemose cultuur,8,1
Mercurius (goden),2,1
Zoogdieren,393,1
Gemmen,43,1
Middeleuwen,2,1
Botmateriaal,321,1
Runen,55,1
mottekastelen,5,1
Stenen werktuigen,255,1
Ontgrondingen,5,1
Toevalsvondsten,16,1
Schadeloosstelling,2,1
Urbane planning,8,1
Grenzen,24,1
Thematische archeologie,1,1
crematiegraven,82,1
Statuten,14,1
Veldarcheologie,24,1
Militaire organisatie,6,1
Talen,1,1
Memoranda,2,1
Artikelen,2,1
Metallurgie,124,1
Reglementen,6,1
Military,7,1
Vogelresten,45,1
Reptielen,21,1
Weefgetouwen,15,1
Pfyner cultuur,7,1
tumuli,40,1
Legerplaatsen,214,1
Karaffen,1,1
Sabazius,1,1
Idiofonen,13,1
Catacomben,7,1
Moles drusi,2,1
Piltdown-mens,10,1
Discussie,18,1
termen,2,1
Lansen,34,1
Medewerker rob,1,1
Certificering,2,1
Paleoklimatologie,11,1
Zoölogie,8,1
Maatschappij,18,1
Molluscen,38,1
Valsificaties,1,1
142,9,1
spectrometrie,38,1
Inaa,5,1
Grondstoffen,27,1
Chemische apparatuur,2,1
Mineralogische analyse,31,1
Opvallend licht microscopie,5,1
153,7,1
149,1,1
140,2,1
Kalium-argon-methode,2,1
Archeomagnetisme,22,1
198,4,1
Uitvindingen,5,1
Chemisch reinigen,9,1
151,5,1
Biochemie,7,1
Infrarood,17,1
Massaspectrometrie,43,1
Maten,19,1
Protonmagnetometers,7,1
184,4,1
197,1,1
182,1,1
168,11,1
191,1,1
Methoden en technieken van de biologie,6,1
Populatie,8,1
Geweien,99,1
Integumentale organen,4,1
Naaien,10,1
Radiometrie,2,1
158,1,1
Weefselresten,8,1
Spinnen (textiel),21,1
oliën,20,1
Electronen microprobe,5,1
Publicaties,11,1
103,2,1
Postscript (computer program language),1,1
Variabiliteit,4,1
Fosfaatmethode,19,1
181,1,1
192,3,1
Data management,10,1
Icpaes,1,1
146,1,1
Vici,105,1
Javascript,1,1
Forensische osteologie,5,1
Microsoft access,2,1
Rossen-cultuur,13,1
Michelsberg cultuur,46,1
Microwear,10,1
Tourisme,9,1
Grondbewerkingssporen,25,1
Mummies,41,1
Georadar,8,1
Databases,18,1
Craniologie,27,1
Ovens (smeltovens),53,1
Schussenried groep,3,1
Vulkanen,29,1
Spatial data analysis,1,1
Metallografie,34,1
Legeringen,1,1
Kunstvoorwerpen,28,1
Röntgenfotografie,5,1
Botresten,127,1
Paleoecologie,112,1
Amfibieën,15,1
Environmental archaeology,5,1
174,1,1
Hill-forts,31,1
Bruinkoolgebieden,2,1
Natural formation processes,1,1
Roundhouses,1,1
Geo-elektrisch onderzoek,3,1
Human life span,1,1
Archaeological illustration,1,1
Stone implements,1,1
Wetgeving archeologie,1,1
Planimetrie,1,1
Tacheometrie,1,1
Poststructuralisme,1,1
Semiologie,2,1
archeologische vondsten,124,1
satellieten,2,1
Waterkwaliteit,6,1
Paleopsychologie,1,1
Nederzettingspatronen,114,1
Falsificaties,5,1
Wichelroedes,1,1
Laboratorium technieken,2,1
Logistieken,1,1
Classificaties,4,1
aardwerken,8,1
Pré-columbiaans,3,1
Databanken,17,1
Nederzettingsgeografie,16,1
Schrijven,3,1
Moerasland,9,1
Rivierafzettingen,27,1
Projectie,1,1
Presentatiemethoden,6,1
Spatial analysis (statistics),1,1
Aardmagnetisme,2,1
Extinct cities,2,1
Mathematische modellen,1,1
Dataprocessing,7,1
Epitaphs,1,1
Sepulchral monuments,1,1
Linear programming,1,1
Mathematical models,2,1
Case studies,5,1
populaties,12,1
Relaties,41,1
Vegetatiekunde,16,1
Magnetometry in archaeology,5,1
Electromagnetisch onderzoek,12,1
Reproducties,12,1
Egyptische oudheid,13,1
Grondradar,9,1
Analysemethoden,59,1
Preparatie,1,1
Deposities,35,1
Hulpmiddelen,2,1
Lakprofielen,4,1
Soil science in archaeology,1,1
Fraudes,1,1
Oppervlaktevondsten,10,1
Processen,7,1
Computertomografie,2,1
Wetenschappelijke technieken,4,1
Karteringen,20,1
Bodemvochtigheid,3,1
Parameters,1,1
Gallo-roman,13,1
Cirkels,8,1
Ethnogeography,2,1
Metrologie,15,1
XRF,21,1
Stabiele isotopen,3,1
Juwelen,31,1
Omzettingsgesteenten,3,1
Organische chemie,7,1
Swiss lake dwellings,1,1
Callibratie methode,2,1
Thermoluminescence dating,1,1
Geschiedschrijvers,19,1
Spectrografie,2,1
Wooden trackways,1,1
Halfwaardetijd,1,1
Oevernederzettingen,18,1
Soils,1,1
Gewervelde dieren,24,1
Petrologie,19,1
Gebruikssporen,15,1
Functionaliteit,8,1
Fabricatie,9,1
Assemblages,9,1
Bemonsteringsmethoden,2,1
565,6,1
Metaalonderzoek,12,1
Botanie,67,1
Antiekhandel,1,1
Restauraties,79,1
Cloisonne (emailtechniek),2,1
dakpannen,119,1
Mechanisch reinigen,3,1
Kopieen,9,1
Tam,1,1
Tandemversneller,1,1
Pinus sylvestris,1,1
Subfossil pine stubs,2,1
Subatlanticum,3,1
Electronica,2,1
Multivariate analyse,1,1
Delfstoffen,6,1
Mathematiek,9,1
Mathematics,1,1
Galvanotechniek,2,1
Elektrotechniek,2,1
Spoorelementen,1,1
Isotopen,17,1
Voedingsindicatoren,1,1
Bodemgesteldheid,10,1
Chromatograpy,1,1
Soil analysis,1,1
Magnetisme,7,1
Thin layer chromatography,1,1
Laboratory manuals,1,1
Numerieke mathematiek,1,1
Ouderdomsbepaling,8,1
Tritiumdatering,2,1
Activeringsanalyse,1,1
Géochronologie,1,1
Houtgewassen,1,1
Lengyel-groep,8,1
Mousterien,36,1
Mensenrassen,73,1
Jong paleolithicum,7,1
Antropografie,12,1
275,1,1
268,7,1
Minoische-cultuur,5,1
Italia,15,1
Salzmunder-cultuur,1,1
Enkelgrafcultuur,49,1
Ahrensburg cultuur,26,1
Villeneuve-st.-germain,1,1
Gebergten,14,1
trechterbeker-cultuur,143,1
Global amphorae cultuur,4,1
El argar-cultuur,2,1
Khazaren,1,1
Paleozoicum,15,1
Mesozoicum,10,1
Kaenozoicum,6,1
Germania,38,1
Kugelamphorenkultur,4,1
Beaker culture,23,1
Bosjesmannen,1,1
Ethnografie,14,1
248,8,1
Swidrian cultuur,1,1
Stichbandkeramik,4,1
281,2,1
Federmesser,28,1
Baden-cultuur,5,1
Bromme-cultuur,2,1
Cresswell cultuur,3,1
Lepenski vir-cultuur,1,1
Aurignacien,12,1
283,2,1
274,2,1
zwaardscheden,1,1
Amuletten,3,1
Lombarden,4,1
slijpstenen,19,1
Micoquien,6,1
Saale-weichsel,10,1
Vuistbijlindustrieen,3,1
Indogermanen,5,1
Unetice-cultuur,8,1
Recrutering,4,1
Mierzanowice-cultuur,2,1
Myceense-cultuur,12,1
Hispania,5,1
Syria,2,1
Arabia,11,1
Judaea,2,1
Sicilia,1,1
258,6,1
Jevisovice b-groep,1,1
Altheim-groep,1,1
Hugelgraberkultur,8,1
Tribale samenleving,34,1
Dollkeim-kovrovo cultuur,2,1
Wielbark-kultur,3,1
Hemmoor emmers,5,1
Karanovo-cultuur,1,1
Gumelnita-cultuur,1,1
Krivodol-groep,1,1
Salcuta-cultuur,1,1
Honden,45,1
Varkens,2,1
Hertencultus,2,1
Mousterien a trad.,2,1
Historische verhalen,22,1
Ballonstrips,1,1
kokerbijlen,2,1
Plainseau-cultuur,1,1
Ariusd,9,1
Neolithische ceramiek,24,1
Wij-inscripties,6,1
Bukk-groep,2,1
Swifterbant-cultuur,35,1
Dierencultus,19,1
Aardbevingen,20,1
veenwegen,3,1
Acheuleen,26,1
Friezen (volk),12,1
Rendierjagers,7,1
Awaren,9,1
Mithra (goden),9,1
Longobarden,5,1
Clactonien,4,1
Perigordien,7,1
276,1,1
Galloromeins,2,1
Latijnse taal,5,1
Grammatica,1,1
Votiefdepots,14,1
Salische huis,1,1
Vorstengraven,16,1
Cardial ware,1,1
Monasticism,1,1
282,2,1
Urnenveldencultuur,20,1
Civilisaties,7,1
Transitie,24,1
Modern man,2,1
Tayacien,1,1
Homo presapiens,13,1
Homo australopithecus,12,1
Alamannen,14,1
Podsolering,9,1
Laat-glaciaal,13,1
jagers,3,2
Preboreaal,5,1
ijstijden,37,1
Agelsaksen,1,1
Gallo-romeins,7,1
Graffito,43,1
Verspreiding,28,1
Dierengenre,28,1
Picten,10,1
Luren,3,1
Klientel-randstaaten,1,1
Leefomstandigheden,2,1
Les appuie-nuque,1,1
Ethnologie,11,1
Gewassen,17,1
Recent,211,1
Precolumbiaans,2,1
Great lakes region,1,1
Zapotec indians,1,1
Indians of mexico,2,1
Inka's,1,1
Ijzertijd ceramiek,6,1
Transgressie,16,1
Diffusie,1,1
Rolsteenhamers,3,1
Tiefstichkeramik,5,1
Inheemse bevolking,39,1
Ulpia noviomagus,3,1
Legioenen,17,1
Holen,10,1
Vinca-cultuur,4,1
Starcevo-groep,3,1
Chorologie,5,1
Belgische waar,16,1
Regni,1,1
Chauki (volk),3,1
Leges barbarorum,1,1
Pactus legis salicae,1,1
Slaven (cultuur),7,1
Tijdrekenkunde,10,1
Mongolen,2,1
Harappa cultuur,2,1
smederijen,1,1
Hominiden,37,1
Cenozoicum,3,1
Huilliche indians,1,1
Mapuche indians,1,1
Yamana populatie,1,1
Seneca sites,2,1
Cultuurgewassen,132,1
Zomerannuellen,1,1
Mioceen,15,1
Mastodon,2,1
Gedenktekens,27,1
Paalkranstumuli,16,1
Human ecology,2,1
Mongoolse rijk,1,1
Algemene wereldgeschiedenis,1,1
Smeltovens,1,1
proefopgravingen,2,1
Magosian culture,1,1
Coldilleran culture,1,1
Veranderingsprocessen,3,1
Huisplaatsen,28,1
Stamhoofden,2,1
bastions,17,1
provinciehuizen,2,1
vingerhoeden,4,1
Waterschappen,42,1
Krypten,1,1
Gerechtshoven,6,1
Heidegronden,29,1
Zonnewijzers,4,1
Genotsmiddelen,4,1
neushoorns,6,1
Wikkeldraadversiering,13,1
ziekenhuizen,7,1
theaters,9,1
Mergels,3,1
Rekenpenningen,1,1
weeshuizen,9,1
Menhirs,25,1
Kaasbereiding,3,1
parochiekerken,1,1
Dierkunde,43,1
Natuur- en landschapsbeheer,14,1
Brochs,15,1
Keukens,17,1
302,2,1
Wandeltochten,13,1
351,8,1
Toiletinrichtingen,8,1
Chamer groep,3,1
361,1,1
Basilicae,2,1
Kelders,123,1
Stadsplattegronden,60,1
Fietstochten,3,1
Wandelen,2,1
Archeologische vindplaatsen,150,1
graftomben,1,1
fonteinen,8,1
Waterverering,1,1
druiven,1,1
knuppelwegen,1,1
Steenkamers,6,1
Geologische kaarten,160,1
hamerbijlen,3,1
Boreaal,9,1
Rontgendiffractometrie,2,1
hutkommen,32,1
Carboon,5,1
Tektoniek,28,1
Beekdalen,25,1
Vangmiddelen,11,1
Vegetatiehorizont,2,1
Rurale planning,9,1
Altnordisch,1,1
Eligie,1,1
rijtuigen,21,1
Danewerk,2,1
Alignments,4,1
Poolflora,2,1
Poolfauna,3,1
plaatsbeschrijvingen,11,1
Native village,1,1
Archeologische monumentenkaart,17,1
Gemeentebeleid,11,1
eilanden,68,1
Veldnamen,41,1
Plaatsnamen,24,1
Binnenzeeën,4,1
Ruilverkavelingsgebied,12,1
Mammoetjagers,2,1
Koninkrijken,3,1
Stone spheres,1,1
Plattelandsgeografie,5,1
Plattelandsontwikkeling,13,1
Milieukartering,3,1
Milieu- en natuurbeleid,3,1
Buurtschappen,8,1
Sarmaten,4,1
Slawen,2,1
Landmarken,2,1
Native sources,1,1
Notitia dignitatum,1,1
Inventarisaties,16,1
Coastal changes,1,1
Resoluties,1,1
Palaeoecologie,6,1
R.o.b,1,1
Koepelgraven,1,1
Archeologische kartering,5,1
Verbindingswegen,1,1
stadsgezichten,65,1
havezaten,207,1
Stedenbouw,1,1
paltsen,1,1
Rooms-katholicisme,9,1
Opstellen,2,1
sociaal-economische geschiedenis,36,1
Natuurgebieden,67,1
Bijenteelt,3,1
Wevers,2,1
Havensteden,11,1
Botanische resten,44,1
Eerste bewoners,2,1
Damasceren,21,1
Allerod,8,1
Tjongercultuur,8,1
Stempelversiering,17,1
Byzantijnse tijd,8,1
ornamenten,15,1
Dorpskernen,2,1
Verlaten nederzettingen,19,1
Ottoonse tijd,6,1
Pagan times,1,1
Hellenischtische periode,2,1
Mamlük periode,1,1
synagogen,12,1
Pre-hellenischtische periode,1,1
Geohydrologie,1,1
Environmental impact analysis,1,1
Environmental protection,1,1
Boddemkunde,3,1
Afbeeldingen,7,1
Mythen,30,1
Coriovallum,1,1
Militaire nederzettingen,12,1
Expedities,5,1
Indians of south america,1,1
Indians of central america,1,1
Maritieme anthropologie,1,1
Adaptaties,4,1
Mississippian culture,1,1
Regionale geologie,10,1
Kavelpatronen,2,1
Lineaire elementen,8,1
Nationale parken,16,1
landschapsgeschiedenis,37,1
Hoogvenen,1,1
Pikten,1,1
Vegetatiegeschiedenis,116,1
Handelsplaats,5,1
Koning arthur,1,1
archeologische parken,5,1
Salische franken,2,1
Rurale samenleving,19,1
Moated sites,5,1
Rivierbeddingen,16,1
Chinezen,1,1
Verkoolde zaden,19,1
Gebitselementen,26,1
Gemeenschappen,6,1
Mariene sedimenten,7,1
Kustafzettingen,5,1
Koloniale archeologie,1,1
Nationale landschapsparken,2,1
Nationaliteit,2,1
cultuurlandschappen,123,1
Ringgreppels,1,1
Heckenlandschaften,1,1
Imperialisme,5,1
Dakpanstempels,19,1
Wrijfschalen,7,1
Nehalennia (romeinse tempel),7,1
Handgetekend,1,1
Gangen,3,1
Paleoethnologie,2,1
Inca,1,1
Donken,29,1
Aardkundige waarden,8,1
Plantensociologie,24,1
408,4,1
Materialisme,1,1
402,1,1
Arabistiek,1,1
Medievistiek,1,1
Astrologie,5,1
Diplomata,8,1
Oogheelkunde,2,1
Filologie,7,1
Koperlegeringen,14,1
Kleefstoffen,11,1
Experimenten,4,1
Schrijftafeltjes,9,1
Houten tabletten,4,1
Mathematical anthropology,1,1
Metrieke stelsel,2,1
Ijkwezen,2,1
Ganggraven,25,1
429,4,1
Aquitania,2,1
Langgraven,6,1
Lijkbehandeling,4,1
inhumatiegraven,62,1
Dodenmaaltijd,2,1
Insignes,5,1
Marchets,1,1
Grafschennis,8,1
Bijenkorfgraven,1,1
Vlees,22,1
421,1,1
Spinnewielen,4,1
427,1,1
425,1,1
Speelschijven,3,1
Rechtsmedizin,1,1
Clyde-carlingford,1,1
Ringwalheuvels,19,1
Sachsen-thüringen,1,1
Idolen,6,1
Stuifmeelonderzoek,6,1
Tracébegeleiding,4,1
Dierornamentiek,29,1
Flesjes,5,1
Reliefversiering,16,1
Gastropoda,4,1
Pazyryk culture,1,1
Kerhoven,2,1
Koningsgraven,2,1
Gebruik van dieren,58,1
Bedelordekloosters,1,1
hekken,9,1
Stadskloosters,6,1
Vruchtbaarheidscultus,11,1
Peristele tempels,2,1
438,1,1
940,2,1
Bronheiligdommen,6,1
431,1,1
Vloekinscripties,2,1
Handschriften,17,1
tympanen,1,1
Middeleeuws latijn,3,1
Hollandse huis,1,1
Gilden,226,1
Gezichtsmaskers,19,1
Pilgrimage,1,1
Egyptische godsdienst,2,1
Jupiter,3,1
Stichten,1,1
Heidendom,2,1
Manicheïsme,1,1
Wijnstok,1,1
Odin (god),1,1
Johannieter commanderijen,2,1
Priories,1,1
Monasticism and religious orders,1,1
Mycologie,1,1
Schimmelaantastingen,7,1
Naamgeving,6,1
Particuliere verzamelingen,12,1
Dagel?ks leven,1,1
448,1,1
449,1,1
Hospitaalridders,2,1
Kerstening,15,1
Bisschoppen,9,1
447,1,1
Azabaches,2,1
Git (glassoort),2,1
Doopvonten,1,1
Mithra,1,1
Tenten,1,1
Familieverhoudingen,13,1
Verzorging,7,1
Politieke richtingen,1,1
Huwelijksgebruiken,2,1
Polygamie,1,1
454,1,1
Culturele boycots,1,1
Homo habilis,5,1
Patronen,14,1
Complex societies,1,1
Pijnstraffen,2,1
Heerlijkheden,10,1
Graafschappen,4,1
Kerkrecht,1,1
Peyote,2,1
Dijkrechten,1,1
Waterschapsrecht,1,1
Waterstaatsrecht,1,1
Marktvormen,4,1
Metropolen,3,1
Muntplaatsen,14,1
Aes grave,1,1
Muntstempels,7,1
Muntstandaard,2,1
481,4,1
Muntmetaal,9,1
483,1,1
Valsemunterij,3,1
Banken (handel),3,1
Landtransport,5,1
Danelaw,1,1
Muntvondsten,10,1
spaarpotten,3,1
Muntwezen,3,1
Wieltransport,6,1
Onderdelen transport,1,1
Heerwegen,5,1
492,1,1
Baggerschepen,6,1
Gracht van corbulo,4,1
stadsgrachten,4,2
Wegentypen,5,1
Vervoersmiddelen,3,1
Britania,2,1
Judea,1,1
Houtwerken,1,1
511,1,1
Kerkelijke goederen,3,1
Kerkelijke inkomsten,1,1
Kerkelijke bezittingen,4,1
zwaardgrepen,2,1
harnassen,2,1
Ruiterspelen,3,1
523,1,1
Blijden,1,1
Steenslingers,2,1
Drijfwerk,1,1
526,1,1
Trizcinec-komarov clt,1,1
Noua-sabatinivska clt,1,1
Dolkheften,4,1
524,1,1
Wapenuitrusting,24,1
Azteken,1,1
529,3,1
Strijdhamers,5,1
Incrustatie,4,1
Germania superior,6,1
Rhaetia,4,1
Dekkingsmogelijkheden,1,1
534,13,1
Spinnen (textiel,1,1
klompen,7,1
544,12,1
Tafels,4,1
Zitmeubels,2,1
Hausforschung,3,1
Ertebølle-ellerbek-groep,4,1
Kongemose-cultuur,1,1
Azilien,16,1
Comb-pit ware-complex,2,1
Wijnhevels,2,1
541,2,1
Buckelquader-mauerwerk,1,1
Burgtürmen,2,1
Ladders,6,1
spanten,1,2
Vakwerkhuizen,16,1
Leemgroeven,4,1
Woonvertrekken,3,1
Minigerecht,1,1
Schoenmakerij,16,1
Timmerlieden,3,1
tolhuizen,2,1
Buitenplaatsen,34,1
Burgen,11,1
Utilitaire bouwkunst,109,1
Fries aardewerk,6,1
Pioniers,2,1
Burgerhuizen,22,1
esdorpen,8,1
roosters,1,2
Tronen,3,1
kisten,10,1
Glasblazen,11,1
portalen,2,1
Hofterrein,2,1
borgen,4,1
ruïnes,56,1
internaten,3,1
kostscholen,1,1
stinsen,6,1
Woonheuvels,4,1
heuvels,3,1
Kachelovens,6,1
Stuwwallen,18,1
Helleense oudheid,4,1
hofsteden,6,1
Atlanticum,11,1
Onderaardse gangen,3,1
Menselijk skeletmateriaal,100,1
Spangen (rotterdam),1,1
Kasteelbouwers,3,1
Pre-spaanse periode,1,1
Missieposten,2,1
Hopi indianen,2,1
Parasitologie,12,1
Plaggen,77,1
Tabulaeceratae,1,1
Extinctie,4,1
spuisluizen,1,1
556,1,1
Sewer,1,1
Zilverbaren,1,1
Maalinrichtingen,1,1
Verkoolde resten,6,1
Boilers,3,1
Gedestilleerde dranken,2,1
Tradities,23,1
Weven,7,1
gieterijen,1,1
Malerij,1,1
Graanproducten,1,1
Bedrijven,3,1
Zoutgehalte,55,1
Landevaluatie,3,1
Hoogheemraadschappen,6,1
Dijkgraven,1,1
stormvloedkeringen,1,1
Stormvloeden,3,1
Kerbschnitt,3,1
Smeedwerktuigen,13,1
Breien,3,1
Ijzerbaren,2,1
Zitkisten,1,1
Slibglazuur,13,1
boren,3,1
scharen,1,2
561,2,1
Plantchemie,2,1
563,1,1
568,1,1
Patten,3,1
Colonia augusta raurica,2,1
564,1,1
Foedraals,4,1
Textielloden,3,1
Radstempels,1,1
Glissen,1,1
Hoefbeslag,6,1
Prekeramisch Neolithicum,2,1
Bronsslakken,2,1
Lusatian culture,4,1
Pomeranian culture,1,1
Westgoten,2,1
Dobbelstenen,1,1
ketels,1,1
Bewerkingssporen,9,1
Koperbaren,2,1
Zandafgravingen,8,1
Standvoetbekercultuur,6,1
Geïmporteerde basaltlava,2,1
Doosjes,4,1
Buxushout,1,1
Etuis,3,1
Crataegushout,2,1
Hoornbewerking,3,1
Dynamiek,3,1
Structuur,8,1
Menselijk gedrag,2,1
Systra,1,1
Mideeleeuwen,1,1
Badorfer tuitpot,4,1
Cluster analyses,4,1
Spaanders,1,1
Rotsen,1,1
Olijfvaten,1,1
Fayence,9,1
Archeologische collecties,10,1
Membranofonen,4,1
567,1,1
weefgewichten,21,1
vorken,1,1
Cloisonné,3,1
klokkengieterijen,1,1
messcheden,1,1
vuurstolpen,1,1
Vuurkorven,1,1
Pijpenmakers,4,1
Natufien,3,1
Kastell alzei,1,1
Non-ferrometaal,2,1
Pewter,1,1
Steins,1,1
Hallmarks,1,1
Jerkin,2,1
Perforaties,2,1
schijven,1,3
Figuratieve kunst,5,1
Bolas,1,1
Arboriginals,2,1
Europese parallellen,1,1
Handwerk,7,1
Schedels (mandibels),4,1
Plantmorfologie,2,1
Centuriatio,3,1
Opstrekkende verkaveling,1,2
976,10,1
Zuivelbereiding,48,1
570,1,1
Zaaien,2,1
Ecomomie,1,1
Wormen,5,1
ploegonderdelen,1,1
Boeren,53,1
Zaadplanten,9,1
Ecosystemen,9,1
Landgebruik,21,1
Cross-cultural studies,1,1
Bodemkundige analyse,4,1
Ethnobotanie,20,1
Peulgewassen,1,1
Oliehoudende gewassen,2,1
Plantfysiologie,4,1
Kruiden,24,1
Farmhouses,1,1
cottages,1,1
Horrea,6,1
Artsenij,2,1
Archeologische monumenten,20,1
Bosbranden,3,1
Grasbranden,1,1
Plantenziekten,1,1
Bestrijdingsmiddelen,30,1
Traditional farming,1,1
Lokaal beleid,1,1
Verzilting,2,1
Verkavelingssystemen,13,1
Voedselproductie,20,1
Iepenval (palynologie),1,1
Kwelders,35,1
Akkerland,123,1
Schapenteelt,4,1
Runderen,54,1
Castreertangen,2,1
Konijnen,6,1
Katten,3,1
Ganzen,3,1
Vogelsoorten,3,1
Geiten,13,1
Kamelen,3,1
Kultuurplanten,20,1
Vee,62,1
olifanten,12,1
Jagen,2,1
Kuilen,458,1
Zoetwatervisserij,1,1
Visvangst,7,1
dolkscheden,1,1
Mede,1,1
Kook - en eetgerei,2,1
Vleesvoorziening,1,1
schalen,1,1
Destileren,4,1
Vetten,11,1
Hongersnood,3,1
Wilde planten,26,1
Zalven,2,1
Schmink,1,1
Urologie,1,1
Gynaecologie,1,1
Chirurgie,8,1
Health,1,1
Medicijnen,2,1
Plantornamentiek,4,1
Gouddraad,3,1
Haarverzorging,3,1
Reparaties,14,1
Wannen (gebruiksvoorwerp),4,1
Kostuums,28,1
Paramenten,2,1
Liturgische gewaden,22,1
Natuurhistorie,7,1
Moesia superior,1,1
Swastikamotief,1,1
671,2,1
Tierornamentik,3,1
Terrassen,8,1
Stijlen,20,1
Vechtsporten,1,1
Vuistgevechten,1,1
Retorica,1,1
Welsprekendheid,1,1
781,1,1
782,3,1
772,2,1
784,2,1
Griekse oudheid,11,1
Reisverhalen,8,1
798,17,1
Volksprenten,1,1
775,1,1
793,1,1
723,2,1
791,1,1
778,4,1
731,1,1
774,3,1
721,1,1
786,1,1
783,2,1
773,1,1
Taalgrenzen,2,1
Taalkwesties,1,1
Taalstrijd,1,1
Educatieve stripboeken,1,1
Hof van holland en zeeland,7,1
Ridders,4,1
Dialecten,12,1
Sem,6,1
771,3,1
Spraak,4,1
Slangencultus,2,1
Broeders van het gemene leven,1,1
Kapittel van sint servaas,1,1
Schepenbrieven,1,1
Kloosterarchieven,1,1
Leenhoven,2,1
Zwerfstenen,9,1
T?dschriftartikelen,5,1
runenstenen,5,1
Sjamanisme,1,1
Histologie,33,1
Ciconiidae,1,1
Hoogkarspel-cultuur,5,1
Plantenterminologie,6,1
848,2,1
Myologie,1,1
Dermologie,1,1
Bergflora,1,1
Commandostaven,1,1
Foraminiferen,6,1
Micro-organismen,9,1
Eoceen,4,1
Oeros,8,1
Sponzen,1,1
Hengels,1,1
Plioceen,24,1
Taxonomie,24,1
Zangvogels,1,1
867,1,1
Varens,7,1
Jongere dryas,5,1
Biofysica,3,1
Geleedpotige dieren,3,1
Cortaillod-cultuur,2,1
Ultraschall,1,1
Archis,5,1
Kruidachtige planten,19,1
Fabeldieren,4,1
Biometrie,15,1
Pollenmorfologie,4,1
Metapodia,1,1
Vruchten,21,1
