Term in CSV,Other Term in CSV,Similarity Score
Byzantijnse bouwkunst,Griekse bouwkunst,0.883508004420687
Dakopbouw,Departementsgebouw,0.802638497269805
Landbouwgronden,Landbouwbedrijfsgebouwen,0.8055526360206392
Landbouwwetgeving,Landbouwbeleid,0.8196626112349235
religieuze gebouwen,agrarische gebouwen,0.8037424441788563
religieuze gebouwen,religieuze gebouwen onderdelen,0.8502411619015275
Steenbouw,Stadsbouwmeester,0.8638419820115778
Steenbouw,Statengebouw,0.81971946595648
Nieuwbouw,Natuurbouw,0.8333384091932631
Stedenbouw,Spoorweggebouw,0.8495518484877727
Rijstbouw,Laagbouw,0.8018483596340522
Thesaurusbouw,Skeletbouw,0.8013660916749731
Thesaurusbouw,Terrasbouw,0.8538626109716037
Thesaurusbouw,Laagbouw,0.8383934755315167
Thesaurusbouw,Tunnelbouw,0.8349735793887578
Natuurbouw,Nieuwbouw,0.8333384091932631
Natuurbouw,Nieuwbouw,0.8333384091932631
Tunnelbouw,Terrasbouw,0.8382860949514261
Tunnelbouw,Thesaurusbouw,0.8349735793887578
kantoorgebouwen,transformatorgebouwen,0.8109295608000568
kantoorgebouwen,wetenschapsgebouwen,0.8312477534470061
Duanegebouw,Catalogusbouw,0.8159962707019225
Duanegebouw,Douanegebouw,0.8372234756696114
Latijnse bouwkunst,Romaanse bouwkunst,0.8007956020427024
Latijnse bouwkunst,Antroposofische bouwkunst,0.8304300599085799
Latijnse bouwkunst,Landelijke bouwkunst,0.8236137046343636
Latijnse bouwkunst,Nationaal-Socialistische bouwkunst,0.8592589876770416
Latijnse bouwkunst,Islamitische bouwkunst,0.8360043400972109
Latijnse bouwkunst,Javaanse bouwkunst,0.8138630306508692
Latijnse bouwkunst,Victoriaanse bouwkunst,0.8251397889956397
Latijnse bouwkunst,Moderne bouwkunst,0.8139314151791656
Latijnse bouwkunst,Romeinse bouwkunst,0.865072960299792
Latijnse bouwkunst,Neoromaanse bouwkunst,0.8364433532110215
Latijnse bouwkunst,Byzantijnse bouwkunst,0.8492120472310101
Latijnse bouwkunst,Griekse bouwkunst,0.8565229979730946
Latijnse bouwkunst,Egyptische bouwkunst,0.8561126678715014
